,Agency,Date,Description,Incident#,Location
0,Champaign Police,9-1-2020 8:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005449,200  BLOCK N FOURTH ST
1,Champaign Police,9-1-2020 3:24 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005437,300  BLOCK W GREEN ST
2,Champaign Police,9-1-2020 2:07 PM,THEFT $500 AND UNDER,CC2005433,700  BLOCK W GREEN ST
3,Champaign Police,9-1-2020 1:19 PM,THEFT OVER $500,CC2005427,300  BLOCK E JOHN ST
4,Champaign Police,9-1-2020 4:00 AM,HEROIN OVERDOSE,CC2005417,2400  BLOCK N PROSPECT AV
5,Champaign Police,8-31-2020 10:26 PM,TRESPASS TO LAND/REAL PROPERTY,CC2005414,0  BLOCK E MAIN ST
6,Champaign Police,8-31-2020 7:11 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005412,400  BLOCK W SPRINGFIELD AV
7,Champaign Police,8-31-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005403,700  BLOCK  BLOOMINGTON RD
8,Champaign Police,8-31-2020 10:00 AM,ASSAULT-AGGRAVATED,CC2005400,0  BLOCK E UNIVERSITY AV
9,Champaign Police,8-31-2020 5:23 AM,BURGLARY RESIDENTIAL,CC2005395,700  BLOCK N STATE ST
10,Champaign Police,8-30-2020 11:35 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005390,2500  BLOCK W SPRINGFIELD AV
11,Champaign Police,8-30-2020 12:10 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005382,2500  BLOCK W SPRINGFIELD AV
12,Champaign Police,8-30-2020 11:25 AM,THEFT-RETAIL,CC2005380,2600  BLOCK N PROSPECT
13,Champaign Police,8-30-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005448,1900  BLOCK  CENTER DR
14,Champaign Police,8-30-2020 2:16 AM,BATTERY,CC2005372,W BRADLEY AV  & S JAMES ST
15,Champaign Police,9-1-2020 8:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005449,200  BLOCK N FOURTH ST
16,Champaign Police,9-1-2020 3:24 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005437,300  BLOCK W GREEN ST
17,Champaign Police,9-1-2020 2:07 PM,THEFT $500 AND UNDER,CC2005433,700  BLOCK W GREEN ST
18,Champaign Police,9-1-2020 1:19 PM,THEFT OVER $500,CC2005427,300  BLOCK E JOHN ST
19,Champaign Police,9-1-2020 4:00 AM,HEROIN OVERDOSE,CC2005417,2400  BLOCK N PROSPECT AV
20,Champaign Police,8-31-2020 10:26 PM,TRESPASS TO LAND/REAL PROPERTY,CC2005414,0  BLOCK E MAIN ST
21,Champaign Police,8-31-2020 7:11 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005412,400  BLOCK W SPRINGFIELD AV
22,Champaign Police,8-31-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005403,700  BLOCK  BLOOMINGTON RD
23,Champaign Police,8-31-2020 10:00 AM,ASSAULT-AGGRAVATED,CC2005400,0  BLOCK E UNIVERSITY AV
24,Champaign Police,8-31-2020 5:23 AM,BURGLARY RESIDENTIAL,CC2005395,700  BLOCK N STATE ST
25,Champaign Police,8-30-2020 11:35 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005390,2500  BLOCK W SPRINGFIELD AV
26,Champaign Police,8-30-2020 12:10 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005382,2500  BLOCK W SPRINGFIELD AV
27,Champaign Police,8-30-2020 11:25 AM,THEFT-RETAIL,CC2005380,2600  BLOCK N PROSPECT
28,Champaign Police,8-30-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005448,1900  BLOCK  CENTER DR
29,Champaign Police,8-30-2020 2:16 AM,BATTERY,CC2005372,W BRADLEY AV  & S JAMES ST
30,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
31,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
32,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
33,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
34,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
35,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
36,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
37,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
38,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
39,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
40,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
41,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
42,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
43,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
44,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
45,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
46,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
47,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
48,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
49,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
50,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
51,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
52,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
53,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
54,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
55,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
56,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
57,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
58,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
59,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
60,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
61,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
62,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
63,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
64,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
65,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
66,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
67,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
68,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
69,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
70,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
71,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
72,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
73,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
74,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
75,Champaign Police,8-29-2020 1:08 AM,BATTERY -CITY,CC2005344,100  BLOCK N WALNUT
76,Champaign Police,8-28-2020 11:23 PM,RECKLESS DISCHARGE OF A FIREARM,CC2005362,1600  BLOCK  VALLEY RD
77,Champaign Police,8-28-2020 10:45 PM,BATTERY -CITY,CC2005340,1700  BLOCK  VALLEY RD
78,Champaign Police,8-28-2020 10:30 PM,DAMAGING PROPERTY,CC2005359,500  BLOCK S ELM ST
79,Champaign Police,8-28-2020 9:30 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005369,1700  BLOCK N NEIL ST
80,Champaign Police,8-28-2020 9:30 PM,BURGLARY FROM MOTOR VEHICLE,CC2005349,800  BLOCK  HAINES BL
81,Champaign Police,8-28-2020 7:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005430,300  BLOCK W COLUMBIA AV
82,Champaign Police,8-28-2020 6:30 PM,FORGERY,CC2005337,3100  BLOCK  LADUE DR
83,Champaign Police,8-28-2020 5:30 PM,THEFT OVER $500,CC2005357,1800  BLOCK  LAKESIDE DR
84,Champaign Police,8-28-2020 4:35 PM,BATTERY-DOMESTIC,CC2005334,200  BLOCK  KENWOOD RD
85,Champaign Police,8-28-2020 4:30 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005399,300  BLOCK S RANDOLPH ST
86,Champaign Police,8-28-2020 4:10 PM,BATTERY-DOMESTIC,CC2005333,4800  BLOCK W WINDSOR RD
87,Champaign Police,8-28-2020 4:00 PM,THEFT $500 AND UNDER,CC2005383,2400  BLOCK N PROSPECT AV
88,Champaign Police,8-28-2020 1:56 PM,BATTERY-DOMESTIC,CC2005358,800  BLOCK  HARRIS AV
89,Champaign Police,8-28-2020 1:00 PM,THEFT $500 AND UNDER,CC2005431,600  BLOCK S FIRST ST
90,Champaign Police,8-28-2020 11:30 AM,THEFT $500 AND UNDER,CC2005435,300  BLOCK S FOURTH ST
91,Champaign Police,8-28-2020 2:19 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005323,1300  BLOCK  JOANNE LN
92,Champaign Police,8-27-2020 5:15 PM,BATTERY-DOMESTIC,CC2005313,500  BLOCK  MITCHELL CT
93,Champaign Police,8-27-2020 5:05 PM,THEFT-MOTOR VEHICLE,CC2005315,400  BLOCK E GREEN ST
94,Champaign Police,8-27-2020 2:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005327,1500  BLOCK  HEDGE RD
95,Champaign Police,8-27-2020 12:00 PM,VIOLATION ORDER PROTECTION,CC2005350,300  BLOCK E ARMORY AV
96,Champaign Police,8-27-2020 10:30 AM,THEFT OVER $500,CC2005365,400  BLOCK E UNIVERSITY AV
97,Champaign Police,8-27-2020 5:23 AM,TRESPASS-RESIDENCE,CC2005297,2600  BLOCK W SPRINGFIELD AV
98,Champaign Police,8-27-2020 5:00 AM,BATTERY,CC2005298,2600  BLOCK W SPRINGFIELD AV
99,Champaign Police,8-26-2020 11:55 PM,FIGHTING,CC2005295,1000  BLOCK  BLOOMINGTON RD
100,Champaign Police,8-26-2020 11:38 PM,BURGLARY FROM MOTOR VEHICLE,CC2005312,500  BLOCK W CHURCH ST
101,Champaign Police,8-26-2020 9:30 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005296,700  BLOCK S FOURTH ST
102,Champaign Police,8-26-2020 8:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005426,4000  BLOCK  INVERNESS RD
103,Champaign Police,8-26-2020 7:30 PM,BURGLARY FROM MOTOR VEHICLE,CC2005299,500  BLOCK S PRAIRIE ST
104,Champaign Police,8-26-2020 11:59 AM,HOME INVASION,CC2005281,100  BLOCK  KENWOOD RD
105,Champaign Police,8-26-2020 4:00 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005277,2600  BLOCK W SPRINGFIELD AV
106,Champaign Police,8-26-2020 1:15 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005276,1900  BLOCK  MCDONALD DR
107,Champaign Police,8-25-2020 10:35 PM,BATTERY-DOMESTIC,CC2005272,W BRADLEY AV  & N JAMES ST
108,Champaign Police,8-25-2020 9:59 PM,BATTERY,CC2005271,400  BLOCK  EDGEBROOK DR
109,Champaign Police,8-25-2020 7:15 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005275,400  BLOCK E CHURCH ST
110,Champaign Police,8-25-2020 5:20 PM,AGG DISCHARGE OF FIREARM,CC2005263,1000  BLOCK  NORTHWOOD ST
111,Champaign Police,8-25-2020 5:10 PM,BATTERY-AGGRAVATED,CC2005264,800  BLOCK W CHURCH ST
112,Champaign Police,8-25-2020 4:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2005429,600  BLOCK S PRAIRIE ST
113,Champaign Police,8-25-2020 3:45 PM,HOME INVASION,CC2005262,2100  BLOCK W WHITE ST
114,Champaign Police,8-25-2020 2:30 PM,FRAUD-DECEPTION,CC2005256,1300  BLOCK  LARKSPUR LN
115,Champaign Police,8-25-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005286,1600  BLOCK  RION DR
116,Champaign Police,8-25-2020 1:06 PM,FINANCIAL EXPLOIT. ELDERLY/DISABLED,CC2005252,1100  BLOCK N MARKET ST
117,Champaign Police,8-25-2020 11:00 AM,RECKLESS DISCHARGE OF A FIREARM,CC2005255,BELLEFONTAINE ST  & CHAMPAIGN ST
118,Champaign Police,8-25-2020 8:25 AM,BATTERY-DOMESTIC,CC2005250,300  BLOCK S SECOND ST
119,Champaign Police,8-25-2020 12:01 AM,BATTERY-DOMESTIC,CC2005273,2100  BLOCK W WHITE ST
120,Champaign Police,8-26-2020 4:00 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005277,2600  BLOCK W SPRINGFIELD AV
121,Champaign Police,8-26-2020 1:15 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005276,1900  BLOCK  MCDONALD DR
122,Champaign Police,8-25-2020 10:35 PM,BATTERY-DOMESTIC,CC2005272,W BRADLEY AV  & N JAMES ST
123,Champaign Police,8-25-2020 9:59 PM,BATTERY,CC2005271,400  BLOCK  EDGEBROOK DR
124,Champaign Police,8-25-2020 7:15 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005275,400  BLOCK E CHURCH ST
125,Champaign Police,8-25-2020 5:20 PM,AGG DISCHARGE OF FIREARM,CC2005263,1000  BLOCK  NORTHWOOD ST
126,Champaign Police,8-25-2020 5:10 PM,BATTERY-AGGRAVATED,CC2005264,800  BLOCK W CHURCH ST
127,Champaign Police,8-25-2020 4:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2005429,600  BLOCK S PRAIRIE ST
128,Champaign Police,8-25-2020 3:45 PM,HOME INVASION,CC2005262,2100  BLOCK W WHITE ST
129,Champaign Police,8-25-2020 2:30 PM,FRAUD-DECEPTION,CC2005256,1300  BLOCK  LARKSPUR LN
130,Champaign Police,8-25-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005286,1600  BLOCK  RION DR
131,Champaign Police,8-25-2020 1:06 PM,FINANCIAL EXPLOIT. ELDERLY/DISABLED,CC2005252,1100  BLOCK N MARKET ST
132,Champaign Police,8-25-2020 11:00 AM,RECKLESS DISCHARGE OF A FIREARM,CC2005255,BELLEFONTAINE ST  & CHAMPAIGN ST
133,Champaign Police,8-25-2020 8:25 AM,BATTERY-DOMESTIC,CC2005250,300  BLOCK S SECOND ST
134,Champaign Police,8-25-2020 12:01 AM,BATTERY-DOMESTIC,CC2005273,2100  BLOCK W WHITE ST
135,Champaign Police,8-24-2020 9:21 PM,BATTERY-DOMESTIC,CC2005243,2500  BLOCK  MYERS CT
136,Champaign Police,8-24-2020 5:00 PM,BURGLARY,CC2005236,2400  BLOCK W BRADLEY AV
137,Champaign Police,8-24-2020 1:10 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005228,2000  BLOCK W SPRINGFIELD AV
138,Champaign Police,8-24-2020 6:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005428,700  BLOCK W CHURCH ST
139,Champaign Police,8-24-2020 2:15 AM,ASSAULT-AGGRAVATED,CC2005217,500  BLOCK N EDWIN ST
140,Champaign Police,8-23-2020 8:15 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005215,400  BLOCK S STATE ST
141,Champaign Police,8-23-2020 8:00 PM,AGG DISCHARGE OF FIREARM,CC2005219,500  BLOCK E COLUMBIA
142,Champaign Police,8-23-2020 5:55 PM,AGG DISCHARGE OF FIREARM,CC2005209,300  BLOCK W WHITE ST
143,Champaign Police,8-23-2020 5:33 PM,BATTERY-DOMESTIC,CC2005208,900  BLOCK  ADA DR
144,Champaign Police,8-23-2020 5:20 PM,THEFT $500 AND UNDER,CC2005211,2600  BLOCK N PROSPECT AV
145,Champaign Police,8-23-2020 3:00 PM,THEFT-RETAIL,CC2005223,2000  BLOCK N NEIL ST
146,Champaign Police,8-23-2020 2:16 PM,THEFT $500 AND UNDER,CC2005203,1700  BLOCK  JEANNE ST
147,Champaign Police,8-23-2020 12:55 PM,THEFT-MOTOR VEHICLE,CC2005201,500  BLOCK S WILLIS
148,Champaign Police,8-23-2020 11:30 AM,THEFT-RETAIL,CC2005202,2000  BLOCK N NEIL ST
149,Champaign Police,8-23-2020 11:00 AM,AGG DISCHARGE OF FIREARM,CC2005200,FIFTH ST  & E COLUMBIA
150,Champaign Police,8-23-2020 9:30 AM,HOME INVASION,CC2005198,2000  BLOCK N MATTIS AV
151,Champaign Police,8-23-2020 4:55 AM,AGG DISCHARGE OF FIREARM,CC2005195,1100  BLOCK N THIRD ST
152,Champaign Police,8-23-2020 4:17 AM,BATTERY-AGGRAVATED,CC2005194,100  BLOCK  KENWOOD RD
153,Champaign Police,8-23-2020 3:00 AM,AGG DISCHARGE OF FIREARM,CC2005197,1200  BLOCK  PAULA DR
154,Champaign Police,8-23-2020 1:26 AM,BATTERY-DOMESTIC,CC2005192,300  BLOCK E GREEN ST
155,Champaign Police,8-23-2020 12:01 AM,THEFT-IDENTITY,CC2005231,2000  BLOCK  LAKESIDE CT
156,Champaign Police,8-23-2020 12:00 AM,BURGLARY,CC2005199,200  BLOCK N COUNTRY FAIR DR
157,Champaign Police,8-23-2020 12:00 AM,BURGLARY RESIDENTIAL,CC2005196,200  BLOCK E CLARK ST
158,Champaign Police,8-22-2020 11:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005244,100  BLOCK S FIRST ST
159,Champaign Police,8-22-2020 10:03 PM,AGG DISCHARGE OF FIREARM,CC2005189,1000  BLOCK  BLOOMINGTON RD
160,Champaign Police,8-22-2020 8:59 PM,HARASSMENT BY ELECTRONIC COMMUNICAT,CC2005188,1300  BLOCK  COMANCHE DR
161,Champaign Police,8-22-2020 8:30 PM,BURGLARY RESIDENTIAL,CC2005193,3700  BLOCK  HARBOR ESTATES LN
162,Champaign Police,8-22-2020 7:30 PM,BATTERY-DOMESTIC,CC2005185,500  BLOCK  GROVE ST
163,Champaign Police,8-22-2020 6:30 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005186,200  BLOCK W ANTHONY DR
164,Champaign Police,8-22-2020 5:18 PM,THEFT OVER $500,CC2005245,2000  BLOCK N PROSPECT AV
165,Champaign Police,8-22-2020 2:50 PM,BATTERY,CC2005182,200  BLOCK  BURR OAK CT
166,Champaign Police,8-22-2020 2:18 PM,BATTERY-DOMESTIC,CC2005179,1100  BLOCK  JOANNE LN
167,Champaign Police,8-22-2020 1:00 PM,THEFT OVER $500,CC2005269,600  BLOCK S WRIGHT ST
168,Champaign Police,8-22-2020 1:00 PM,FRAUD-CREDIT CARD,CC2005181,200  BLOCK N NEIL ST
169,Champaign Police,8-22-2020 10:39 AM,BATTERY-DOMESTIC,CC2005175,1600  BLOCK  HEDGE RD
170,Champaign Police,8-22-2020 7:30 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005171,100  BLOCK S WRIGHT ST
171,Champaign Police,8-21-2020 11:10 PM,THEFT-MOTOR VEHICLE,CC2005172,0  BLOCK E GREEN ST
172,Champaign Police,8-21-2020 10:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2005183,0  BLOCK E GREEN ST
173,Champaign Police,8-21-2020 8:48 PM,BATTERY-DOMESTIC,CC2005164,2100  BLOCK W WHITE ST
174,Champaign Police,8-21-2020 4:25 PM,BATTERY,CC2005158,600  BLOCK E COLUMBIA AV
175,Champaign Police,8-21-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005150,200  BLOCK W COLUMBIA AV
176,Champaign Police,8-21-2020 6:00 AM,BATTERY,CC2005147,2400  BLOCK N PROSPECT AV
177,Champaign Police,8-21-2020 1:56 AM,THEFT OVER $500,CC2005138,ANTHONY DR  & CAMPBELL DR
178,Champaign Police,8-20-2020 9:30 PM,THEFT-MOTOR VEHICLE,CC2005137,3200  BLOCK  KATIE LYNN DR
